# bench_date,"2026-07-02_14-47-16"
# problem_dir,"casc/FOF"
# home,
# logs_dir,"bench/logs/casc_requested"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,75000
# mode,"ordered-fallback"
# portfolio,"casc-150"
# casc,
# only_ip,true
# version_vip,"a76d405"

section,problem,expected_status,rating,vip,vip_time_s,vip_profile,vip_axiom_selection,vip_raw_clauses,vip_equality_literals,vip_equality_ratio,vip_avg_term,vip_unit_ratio,vip_negative_ratio
result,"FEQ/CSR219+1.p","Unknown","","Timeout",3.020870,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/CSR228+1.p","Unknown","","Timeout",3.019493,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/CSR248+1.p","Unknown","","Timeout",3.022817,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/GEO084+1.p","Unknown","","Theorem",0.222797,"equality-light","false","47","16","0.113475","3.737589","0.106383","0.524823"
result,"FEQ/GEO087+1.p","Unknown","","Theorem",0.224344,"equality-light","false","45","16","0.115108","3.733813","0.066667","0.525180"
result,"FEQ/GEO088+1.p","Unknown","","Theorem",0.222287,"equality-light","false","47","16","0.113475","3.716312","0.106383","0.524823"
result,"FEQ/GEO089+1.p","Unknown","","Theorem",0.224257,"equality-light","false","46","16","0.114286","3.721429","0.086957","0.528571"
result,"FEQ/GEO109+1.p","Unknown","","Theorem",0.225115,"equality-light","false","54","18","0.109756","3.829268","0.037037","0.536585"
result,"FEQ/GEO111+1.p","Unknown","","Theorem",2.047476,"equality-heavy","false","51","21","0.131250","3.818750","0.039216","0.537500"
result,"FEQ/GEO125+1.p","Unknown","","Theorem",2.050349,"equality-heavy","false","88","32","0.120755","3.984906","0.068182","0.528302"
result,"FEQ/GEO126+1.p","Unknown","","Theorem",2.050506,"equality-heavy","false","86","32","0.121212","3.992424","0.034884","0.530303"
result,"FEQ/GEO127+1.p","Unknown","","Theorem",0.227807,"equality-light","false","90","31","0.112727","3.985455","0.033333","0.527273"
result,"FEQ/GEO137+1.p","Unknown","","Theorem",0.225926,"equality-light","false","90","32","0.118959","3.977695","0.066667","0.527881"
result,"FEQ/GEO169+2.p","Unknown","","Timeout",2.958925,"equality-light","false","53","16","0.168421","2.705263","0.528302","0.410526"
result,"FEQ/GEO271+1.p","Unknown","","Timeout",3.035596,"equality-light","false","262","1418","0.435103","3.250690","0.057252","0.853636"
result,"FEQ/GEO274+1.p","Unknown","","Timeout",3.035682,"equality-light","false","271","1411","0.435359","3.259488","0.081181","0.850972"
result,"FEQ/GEO277+1.p","Unknown","","Timeout",3.036188,"equality-light","false","284","1392","0.432567","3.261032","0.119718","0.847110"
result,"FEQ/GEO278+1.p","Unknown","","Timeout",3.797073,"equality-light","false","291","1440","0.434783","3.251812","0.130584","0.846920"
result,"FEQ/GEO281+1.p","Unknown","","Timeout",3.096781,"equality-light","false","278","1424","0.435607","3.258489","0.093525","0.849189"
result,"FEQ/GEO282+1.p","Unknown","","Timeout",3.513362,"equality-light","false","289","1457","0.440314","3.257782","0.076125","0.837111"
result,"FEQ/GEO288+1.p","Unknown","","Timeout",3.051058,"equality-heavy","false","443","4875","0.549915","4.099492","0.051919","0.831923"
result,"FEQ/GEO290+1.p","Unknown","","Timeout",3.041667,"equality-light","false","305","1481","0.439336","3.270543","0.160656","0.843370"
result,"FEQ/GEO292+1.p","Unknown","","Timeout",3.037534,"equality-light","false","316","1441","0.436138","3.283596","0.183544","0.837772"
result,"FEQ/GEO293+1.p","Unknown","","Timeout",3.152955,"equality-light","false","320","1445","0.436820","3.289601","0.193750","0.836759"
result,"FEQ/GEO295+1.p","Unknown","","Timeout",3.622327,"equality-light","false","319","1487","0.438514","3.275435","0.184953","0.838986"
result,"FEQ/GEO298+1.p","Unknown","","Timeout",3.036220,"equality-light","false","328","1488","0.437133","3.274089","0.198171","0.836957"
result,"FEQ/GEO299+1.p","Unknown","","Timeout",3.039697,"equality-light","false","328","1466","0.435920","3.280999","0.198171","0.835563"
result,"FEQ/GEO300+1.p","Unknown","","Timeout",3.039204,"equality-light","false","328","1443","0.434508","3.285155","0.201220","0.834989"
result,"FEQ/GEO310+1.p","Unknown","","Timeout",3.515166,"equality-light","false","317","1611","0.451767","3.317443","0.160883","0.837353"
result,"FEQ/GEO311+1.p","Unknown","","Timeout",3.039866,"equality-light","false","317","1589","0.450908","3.323780","0.164038","0.836549"
result,"FEQ/GEO317+1.p","Unknown","","Timeout",3.534407,"equality-light","false","325","1619","0.452994","3.330442","0.181538","0.835478"
result,"FEQ/GEO319+1.p","Unknown","","Timeout",3.116097,"equality-light","false","332","1645","0.450192","3.357964","0.102410","0.836344"
result,"FEQ/GEO321+1.p","Unknown","","Timeout",3.617620,"equality-light","false","346","1629","0.449255","3.365416","0.141618","0.834804"
result,"FEQ/GEO323+1.p","Unknown","","Timeout",3.042480,"equality-light","false","348","1631","0.449559","3.367971","0.146552","0.834344"
result,"FEQ/GEO325+1.p","Unknown","","Timeout",3.536660,"equality-light","false","350","1611","0.448997","3.376812","0.154286","0.833055"
result,"FEQ/GEO331+1.p","Unknown","","Timeout",3.042885,"equality-light","false","284","1619","0.455159","3.326680","0.049296","0.840034"
result,"FEQ/GEO337+1.p","Unknown","","Timeout",3.696853,"equality-light","false","290","1644","0.455024","3.316358","0.072414","0.842236"
result,"FEQ/GEO340+1.p","Unknown","","Timeout",3.504020,"equality-light","false","301","1760","0.460131","3.328366","0.069767","0.836601"
result,"FEQ/GEO345+1.p","Unknown","","Timeout",3.039829,"equality-light","false","302","1634","0.454015","3.316477","0.102649","0.838288"
