dune exec -- bench/run_bench.exe --onlyip --dir /home/etudiant/Cours/stage/TPTP-v9.2.1/Problems/SYN/ --time-limit 3 --robust-time-limit  --logs bench_logs_original_repro  --mode ordered-fallback
problem                                                      | expected           | rating       | ip                    
SYN106-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.150s)
SYN107-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (1.610s)
SYN108-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (1.612s)
SYN109-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN110-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN111-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN112-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.288s)
SYN113-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN114-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.317s)
SYN115-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.011s)      
SYN116-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN116-10.p                                                  | Unsatisfiable      | 0.09 v9.1.0  | Error (0.150s)        
SYN117-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN118-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.138s)
SYN119-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.124s)
SYN120-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.153s)
SYN121-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN122-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.016s)      
SYN123-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN124-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN125-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.018s)      
SYN126-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.478s)
SYN127-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.456s)
SYN128-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN129-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN130-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.136s)
SYN131-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.135s)
SYN132-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.160s)
SYN133-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.149s)
SYN134-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN135-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.387s)
SYN136-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.385s)
SYN137-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN138-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN139-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN140-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN141-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN142-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN143-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN143-10.p                                                  | Unsatisfiable      | 0.13 v9.1.0  | Timeout (1.453s)      
SYN144-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN145-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.137s)
SYN146-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.216s)
SYN147-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.472s)
SYN148-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN149-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.208s)
SYN150-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.263s)
SYN151-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.810s)
SYN152-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.266s)
SYN153-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.386s)
SYN154-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.380s)
SYN155-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN156-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN157-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN158-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN159-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN160-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN161-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.011s)      
SYN162-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN163-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN164-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.128s)
SYN165-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.241s)
SYN166-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN167-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.831s)
SYN168-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.429s)
SYN169-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.791s)
SYN170-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN170-10.p                                                  | Unsatisfiable      | 0.09 v8.2.0  | Error (0.142s)        
SYN171-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN172-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.141s)
SYN173-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (1.661s)
SYN174-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (1.662s)
SYN175-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (1.700s)
SYN176-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN177-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.011s)      
SYN178-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN179-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN180-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN181-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN182-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.843s)
SYN183-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.472s)
SYN184-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.137s)
SYN185-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.136s)
SYN186-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN187-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN188-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN189-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN190-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN191-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN192-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN193-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN193-10.p                                                  | Unsatisfiable      | 0.09 v9.1.0  | Error (0.142s)        
SYN194-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
