# bench_date,"2026-05-14_00-45-18"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,false
# version_ip,"05f1a9a"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN040+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.085215,"Theorem",0.044922,"Theorem",0.010958,"Unsatisfiable",0.014642
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN040-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.025212,"Unsatisfiable",0.017882,"Unsatisfiable",0.011554,"Unsatisfiable",0.018077
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN041+1.p","Theorem","0.00 v2.3.0","Unsatisfiable",0.018189,"Theorem",0.014788,"Theorem",0.011114,"Unsatisfiable",0.016948
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN041-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.010371,"Unsatisfiable",0.014461,"Unsatisfiable",0.011035,"Unsatisfiable",0.013736
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN044+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.022352,"Theorem",0.014556,"Theorem",0.008927,"Unsatisfiable",0.013732
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN044-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.011290,"Unsatisfiable",0.011403,"Unsatisfiable",0.005002,"Unsatisfiable",0.013974
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN045+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.009538,"Theorem",0.014538,"Theorem",0.008464,"Unsatisfiable",0.015343
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN045-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.009614,"Unsatisfiable",0.011358,"Unsatisfiable",0.004516,"Unsatisfiable",0.014108
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN046+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.016140,"Theorem",0.020592,"Theorem",0.013105,"Unsatisfiable",0.013810
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN046-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005617,"Unsatisfiable",0.010856,"Unsatisfiable",0.005181,"Unsatisfiable",0.013271
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN047+1.p","Theorem","0.00 v4.1.0","Unsatisfiable",0.012547,"Theorem",0.010419,"Theorem",0.004348,"Unsatisfiable",0.013283
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN047-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006502,"Unsatisfiable",0.010257,"Unsatisfiable",0.004779,"Unsatisfiable",0.013024
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN048+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.010125,"Theorem",0.010640,"Theorem",0.004585,"Unsatisfiable",0.013528
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN048-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.005905,"Unsatisfiable",0.009837,"Unsatisfiable",0.004874,"Unsatisfiable",0.014066
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN049+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.010034,"Theorem",0.013992,"Theorem",0.005932,"Unsatisfiable",0.013526
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN049-1.p","Unsatisfiable","0.00 v5.3.0","Unsatisfiable",0.004924,"Unsatisfiable",0.009897,"Unsatisfiable",0.004579,"Unsatisfiable",0.013796
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN050+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.005730,"Theorem",0.010314,"Theorem",0.004387,"Unsatisfiable",0.013812
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN050-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.005583,"Unsatisfiable",0.010046,"Unsatisfiable",0.004222,"Unsatisfiable",0.013424
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN051+1.p","Theorem","0.00 v5.4.0","Unsatisfiable",0.005399,"Theorem",0.010195,"Theorem",0.005128,"Unsatisfiable",0.013683
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN051-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005753,"Unsatisfiable",0.010438,"Unsatisfiable",0.004416,"Unsatisfiable",0.013775
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN052+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.008730,"Theorem",0.010134,"Theorem",0.004517,"Unsatisfiable",0.013613
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN052-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005576,"Unsatisfiable",0.011037,"Unsatisfiable",0.004567,"Unsatisfiable",0.014118
result,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN/SYN053+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006437,"Theorem",0.010463,"Theorem",0.004563,"Unsatisfiable",0.014613
