# bench_date,"2026-05-15_13-13-44"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SYN"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/SYN"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,false
# version_ip,"8dfcd15"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"SYN046+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.005534,"Theorem",0.011975,"Theorem",0.004556,"Unsatisfiable",0.014636
result,"SYN046-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005516,"Unsatisfiable",0.011459,"Unsatisfiable",0.004763,"Unsatisfiable",0.015811
result,"SYN047+1.p","Theorem","0.00 v4.1.0","Unsatisfiable",0.006814,"Theorem",0.011024,"Theorem",0.004549,"Unsatisfiable",0.015040
result,"SYN047-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006342,"Unsatisfiable",0.012005,"Unsatisfiable",0.004406,"Unsatisfiable",0.015273
result,"SYN048+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.005971,"Theorem",0.012354,"Theorem",0.004856,"Unsatisfiable",0.015460
result,"SYN048-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.005846,"Unsatisfiable",0.011585,"Unsatisfiable",0.004582,"Unsatisfiable",0.016210
result,"SYN049+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.005375,"Theorem",0.012071,"Theorem",0.004679,"Unsatisfiable",0.015482
result,"SYN049-1.p","Unsatisfiable","0.00 v5.3.0","Unsatisfiable",0.005592,"Unsatisfiable",0.011007,"Unsatisfiable",0.004453,"Unsatisfiable",0.014404
result,"SYN050+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.006099,"Theorem",0.012523,"Theorem",0.005264,"Unsatisfiable",0.017765
result,"SYN050-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.005531,"Unsatisfiable",0.011909,"Unsatisfiable",0.005341,"Unsatisfiable",0.014814
result,"SYN051+1.p","Theorem","0.00 v5.4.0","Unsatisfiable",0.005841,"Theorem",0.011301,"Theorem",0.005373,"Unsatisfiable",0.014351
result,"SYN051-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005963,"Unsatisfiable",0.010828,"Unsatisfiable",0.005352,"Unsatisfiable",0.015318
result,"SYN052+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.012246,"Theorem",0.012577,"Theorem",0.004508,"Unsatisfiable",0.014465
result,"SYN052-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005744,"Unsatisfiable",0.012424,"Unsatisfiable",0.004931,"Unsatisfiable",0.014913
result,"SYN053+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006883,"Theorem",0.011714,"Theorem",0.004928,"Unsatisfiable",0.014657
result,"SYN053-1.p","Unsatisfiable","0.00 v2.1.0","Unsatisfiable",0.006564,"Unsatisfiable",0.012311,"Unsatisfiable",0.005310,"Unsatisfiable",0.014964
result,"SYN054+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007718,"Theorem",0.033586,"Theorem",0.005244,"Unsatisfiable",0.016224
result,"SYN054-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.008608,"Unsatisfiable",0.012333,"Unsatisfiable",0.005325,"Unsatisfiable",0.015216
result,"SYN055+1.p","ContradictoryAxioms","0.00 v8.1.0","Unsatisfiable",0.007287,"Theorem",0.012120,"ContradictoryAxioms",0.005282,"Unsatisfiable",0.014529
result,"SYN055-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.017425,"Unsatisfiable",0.011396,"Unsatisfiable",0.005148,"Unsatisfiable",0.015746
result,"SYN056+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.033136,"Theorem",0.030442,"Theorem",0.005517,"Unsatisfiable",0.015451
result,"SYN056-1.p","Satisfiable","0.00 v2.1.0","Timeout",3.006483,"Satisfiable",0.028516,"Satisfiable",0.005705,"Timeout",5.560046
result,"SYN057+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007530,"Theorem",0.011431,"Theorem",0.005758,"Unsatisfiable",0.014891
result,"SYN057-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007300,"Unsatisfiable",0.011568,"Unsatisfiable",0.005258,"Unsatisfiable",0.014754
result,"SYN058+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006888,"Theorem",0.011120,"Theorem",0.005927,"Unsatisfiable",0.015337
result,"SYN058-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006626,"Unsatisfiable",0.011202,"Unsatisfiable",0.005014,"Unsatisfiable",0.014471
result,"SYN059+1.p","Theorem","0.00 v2.1.0","Unsatisfiable",0.784749,"Theorem",0.012631,"Theorem",0.006374,"Unsatisfiable",0.015269
result,"SYN059-1.p","Satisfiable","0.00 v2.2.0","Timeout",3.006223,"Satisfiable",0.046716,"Satisfiable",0.006729,"Satisfiable",0.017801
result,"SYN060+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.005971,"Theorem",0.011908,"Theorem",0.005304,"Unsatisfiable",0.014977
result,"SYN060-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006422,"Unsatisfiable",0.012046,"Unsatisfiable",0.004570,"Unsatisfiable",0.015093
result,"SYN061+1.p","Theorem","0.00 v4.1.0","Unsatisfiable",0.006488,"Theorem",0.012717,"Theorem",0.005727,"Unsatisfiable",0.015239
result,"SYN061-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006254,"Unsatisfiable",0.011590,"Unsatisfiable",0.005092,"Unsatisfiable",0.015243
result,"SYN062+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.006536,"Theorem",0.011400,"Theorem",0.005358,"Unsatisfiable",0.014869
result,"SYN062-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.006535,"Unsatisfiable",0.011890,"Unsatisfiable",0.005370,"Unsatisfiable",0.015461
result,"SYN063+1.p","Theorem","0.00 v5.5.0","Unsatisfiable",0.013501,"Theorem",0.015010,"Theorem",0.005577,"Unsatisfiable",0.015056
result,"SYN063-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.007888,"Unsatisfiable",0.012258,"Unsatisfiable",0.005262,"Unsatisfiable",0.014999
result,"SYN064+1.p","Theorem","0.00 v5.5.0","Unsatisfiable",0.008954,"Theorem",0.012660,"Theorem",0.004804,"Unsatisfiable",0.014770
result,"SYN064-1.p","Unsatisfiable","0.06 v9.1.0","Unsatisfiable",0.005576,"Unsatisfiable",0.012511,"Unsatisfiable",0.004989,"Unsatisfiable",0.016133
result,"SYN065+1.p","Theorem","0.00 v6.3.0","Unsatisfiable",0.006074,"Theorem",0.012179,"Theorem",0.005310,"Unsatisfiable",0.016588
result,"SYN065-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",0.007264,"Unsatisfiable",0.016568,"Unsatisfiable",0.005295,"Unsatisfiable",0.017287
result,"SYN066+1.p","Theorem","0.05 v9.1.0","Unsatisfiable",0.006038,"Theorem",0.013968,"Theorem",0.005409,"Unsatisfiable",0.016730
result,"SYN066-1.p","Unsatisfiable","0.00 v7.1.0","Unsatisfiable",0.006079,"Unsatisfiable",0.016817,"Unsatisfiable",0.005275,"Unsatisfiable",0.034907
result,"SYN067+1.p","Theorem","0.15 v9.1.0","Timeout",3.007446,"Theorem",0.053598,"Theorem",0.110077,"Unsatisfiable",0.015886
result,"SYN067-1.p","Unsatisfiable","0.31 v9.1.0","Timeout",3.007348,"Unsatisfiable",0.052641,"Unsatisfiable",0.093612,"Timeout",4.555177
result,"SYN068+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007277,"Theorem",0.036365,"Theorem",0.005691,"Unsatisfiable",0.015304
result,"SYN068-1.p","Unsatisfiable","0.00 v5.4.0","Unsatisfiable",0.006932,"Unsatisfiable",0.017065,"Unsatisfiable",0.005596,"Unsatisfiable",0.015019
result,"SYN069+1.p","ContradictoryAxioms","0.00 v6.3.0","Unsatisfiable",0.009413,"ContradictoryAxioms",0.013628,"Theorem",0.006010,"Unsatisfiable",0.015825
result,"SYN069-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.012275,"Unsatisfiable",0.016890,"Unsatisfiable",0.005449,"Unsatisfiable",0.016151
result,"SYN070+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.012940,"Theorem",0.029162,"Theorem",0.005793,"Unsatisfiable",0.015264
result,"SYN070-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.026762,"Unsatisfiable",0.013160,"Unsatisfiable",0.005564,"Unsatisfiable",0.016048
result,"SYN071+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.007070,"Theorem",0.012660,"Theorem",0.004876,"Satisfiable",0.014509
result,"SYN071-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",0.007290,"Unsatisfiable",0.013298,"Unsatisfiable",0.005129,"Satisfiable",0.014714
result,"SYN072+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.077142,"Theorem",0.031559,"Theorem",0.005723,"Satisfiable",0.014764
result,"SYN072-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",0.078066,"Unsatisfiable",0.031161,"Unsatisfiable",0.005479,"Satisfiable",0.014252
result,"SYN073+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.005602,"Theorem",0.012111,"Theorem",0.005488,"Unsatisfiable",0.014960
result,"SYN073-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.005788,"Unsatisfiable",0.040142,"Unsatisfiable",0.005596,"Unsatisfiable",0.015279
result,"SYN074+1.p","Theorem","0.18 v9.1.0","Timeout",3.009202,"Theorem",0.116988,"Theorem",0.006060,"Satisfiable",0.015178
result,"SYN074-1.p","Unsatisfiable","0.05 v9.1.0","Unsatisfiable",1.255393,"Unsatisfiable",0.046398,"Unsatisfiable",0.006109,"Timeout",3.753815
result,"SYN075+1.p","Theorem","0.18 v9.1.0","Timeout",3.008811,"Theorem",0.014938,"Theorem",0.006005,"Satisfiable",0.152522
result,"SYN075-1.p","Unsatisfiable","0.05 v9.0.0","Timeout",3.009104,"Unsatisfiable",0.047729,"Unsatisfiable",0.008546,"Timeout",3.243588
result,"SYN076+1.p","Theorem","0.82 v9.1.0","Timeout",3.009837,"Timeout",2.993873,"Timeout",3.052271,"Satisfiable",0.016286
result,"SYN076-1.p","Unsatisfiable","0.82 v9.1.0","Unsatisfiable",0.533974,"Timeout",2.935282,"Timeout",3.051033,"Timeout",4.267891
result,"SYN077+1.p","Theorem","0.18 v9.1.0","Timeout",3.006340,"Theorem",0.048221,"Theorem",0.006277,"Timeout",24.525535
result,"SYN077-1.p","Unsatisfiable","0.09 v9.1.0","Timeout",3.007295,"Unsatisfiable",0.043012,"Unsatisfiable",0.006023,"Timeout",3.685504
result,"SYN078+1.p","Theorem","0.06 v9.0.0","Timeout",3.007165,"Theorem",0.052050,"Theorem",0.005165,"Unsatisfiable",0.015046
result,"SYN078-1.p","Satisfiable","0.12 v9.1.0","Timeout",3.007697,"Satisfiable",0.056697,"Satisfiable",0.005389,"Timeout",29.500531
result,"SYN079+1.p","Theorem","0.00 v5.3.0","Unsatisfiable",0.005828,"Theorem",0.034001,"Theorem",0.005831,"Unsatisfiable",0.015078
result,"SYN079-1.p","Unsatisfiable","0.00 v5.3.0","Unsatisfiable",0.010817,"Unsatisfiable",0.012419,"Unsatisfiable",0.004895,"Unsatisfiable",0.014637
result,"SYN080+1.p","Theorem","0.00 v6.3.0","Unsatisfiable",0.005390,"Theorem",0.012739,"Theorem",0.005063,"Unsatisfiable",0.016289
result,"SYN080-1.p","Unsatisfiable","0.04 v9.1.0","Unsatisfiable",0.007762,"Unsatisfiable",0.013759,"Unsatisfiable",0.005668,"Unsatisfiable",0.016193
result,"SYN081+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.005646,"Theorem",0.012491,"Theorem",0.005437,"Unsatisfiable",0.015060
result,"SYN081-1.p","Unsatisfiable","0.00 v6.3.0","Unsatisfiable",0.005781,"Unsatisfiable",0.012300,"Unsatisfiable",0.004772,"Unsatisfiable",0.015087
result,"SYN082+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.010193,"Theorem",0.013687,"Theorem",0.005444,"Unsatisfiable",0.014709
result,"SYN082-1.p","Unsatisfiable","0.00 v7.1.0","Unsatisfiable",0.009263,"Unsatisfiable",0.013950,"Unsatisfiable",0.005783,"Unsatisfiable",0.015581
result,"SYN083+1.p","Theorem","0.09 v9.1.0","Unsatisfiable",0.005737,"Theorem",0.013052,"Theorem",0.005007,"Timeout",3.275555
result,"SYN083-1.p","Unsatisfiable","0.04 v9.1.0","Unsatisfiable",0.006075,"Unsatisfiable",0.011481,"Unsatisfiable",0.004633,"Timeout",3.283304
result,"SYN084+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.240790,"Theorem",0.037910,"Theorem",0.005924,"Unsatisfiable",0.014960
result,"SYN084-1.p","Satisfiable","0.00 v5.4.0","Timeout",3.008617,"Satisfiable",0.054280,"Satisfiable",0.004835,"Timeout",3.974733
result,"SYN103-1.p","Unsatisfiable","0.00 v7.3.0","Unsatisfiable",0.184708,"Unsatisfiable",0.082444,"Unsatisfiable",0.009713,"Unsatisfiable",0.021652
