# bench_date,"2026-05-15_13-14-31"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/PUZ"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/PUZ"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,false
# version_ip,"8dfcd15"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"PUZ030-1.p","Unsatisfiable","0.00 v5.5.0","Timeout",3.006560,"Unsatisfiable",0.057544,"Unsatisfiable",0.011294,"Unsatisfiable",0.024781
result,"PUZ031+1.p","Theorem","0.00 v8.1.0","Timeout",3.007381,"Theorem",0.048539,"Theorem",0.007530,"Unsatisfiable",0.544455
result,"PUZ031-1.p","Unsatisfiable","0.00 v7.1.0","Timeout",3.013660,"Unsatisfiable",0.082357,"Unsatisfiable",0.007036,"Unsatisfiable",0.025615
result,"PUZ032-1.p","Unsatisfiable","0.00 v2.2.1","Timeout",3.011757,"Unsatisfiable",0.029560,"Unsatisfiable",0.005910,"Unsatisfiable",0.059526
result,"PUZ033-1.p","Unsatisfiable","0.00 v2.0.0","Unsatisfiable",0.010498,"Unsatisfiable",0.011685,"Unsatisfiable",0.005081,"Unsatisfiable",0.014676
result,"PUZ035-1.p","Unsatisfiable","0.00 v2.1.0","Timeout",3.006790,"Unsatisfiable",0.052266,"Unsatisfiable",0.005773,"Unsatisfiable",0.016362
result,"PUZ037-1.p","Unsatisfiable","0.33 v8.1.0","Unsatisfiable",0.065456,"Unsatisfiable",0.013992,"Unsatisfiable",0.010126,"Timeout",3.186638
result,"PUZ038-1.p","Unsatisfiable","0.00 v6.1.0","Unsatisfiable",2.083737,"Unsatisfiable",0.022228,"Unsatisfiable",0.007501,"Timeout",3.135604
result,"PUZ039-1.p","Unsatisfiable","0.06 v9.1.0","Timeout",3.011309,"Unsatisfiable",0.084744,"Unsatisfiable",0.244478,"Timeout",3.183358
result,"PUZ040-1.p","Unsatisfiable","0.06 v9.1.0","Timeout",3.010291,"Unsatisfiable",0.091373,"Unsatisfiable",0.016166,"Timeout",3.279234
result,"PUZ041-1.p","Unknown","1.00 v2.6.0","Timeout",3.010382,"Timeout",2.947770,"Timeout",3.055407,"Timeout",4.285088
result,"PUZ042-1.p","Unsatisfiable","0.06 v9.1.0","Timeout",3.010143,"Unsatisfiable",0.106825,"Unsatisfiable",0.181516,"Timeout",3.216020
result,"PUZ043-1.p","Satisfiable","0.00 v7.4.0","Timeout",3.008432,"Satisfiable",0.019685,"Satisfiable",0.011341,"Satisfiable",0.035427
result,"PUZ044-1.p","Satisfiable","0.00 v3.1.0","Timeout",3.007544,"Satisfiable",0.017120,"Satisfiable",0.008355,"Timeout",3.813090
result,"PUZ045-1.p","Satisfiable","0.00 v3.1.0","Timeout",3.008288,"Satisfiable",0.047759,"Satisfiable",0.005330,"Timeout",3.669037
result,"PUZ046-1.p","Satisfiable","0.00 v5.4.0","Timeout",3.021775,"Satisfiable",0.018708,"Satisfiable",0.007291,"Satisfiable",0.026440
result,"PUZ047+1.p","Theorem","0.00 v9.1.0","Unsatisfiable",0.007918,"Theorem",0.013379,"Theorem",0.005508,"Timeout",3.073349
result,"PUZ047-1.p","Unsatisfiable","0.00 v5.3.0","Unsatisfiable",0.007875,"Unsatisfiable",0.012297,"Unsatisfiable",0.005161,"Unsatisfiable",0.096097
result,"PUZ048-1.p","Satisfiable","0.33 v7.0.0","Timeout",3.012360,"Timeout",2.936716,"Timeout",3.077720,"Timeout",5.272204
result,"PUZ049-1.p","Satisfiable","0.00 v8.2.0","Timeout",3.009861,"Timeout",2.919157,"Satisfiable",0.197779,"Timeout",4.369356
result,"PUZ050-1.p","Unsatisfiable","0.82 v9.1.0","Timeout",3.013878,"Timeout",2.914828,"Timeout",3.061567,"Timeout",4.900993
result,"PUZ051-1.p","Unknown","1.00 v2.6.0","Timeout",3.010203,"Timeout",2.944593,"Timeout",3.101487,"Timeout",4.188895
result,"PUZ052-1.p","Satisfiable","1.00 v2.7.0","Timeout",3.017403,"Timeout",2.952579,"Timeout",3.133604,"Timeout",3.204784
result,"PUZ053-1.p","Satisfiable","1.00 v2.7.0","Timeout",3.019060,"Timeout",2.984749,"Timeout",3.131507,"Timeout",3.143440
result,"PUZ054-1.p","Satisfiable","0.00 v2.7.0","Timeout",3.012263,"Satisfiable",0.044647,"Satisfiable",0.013736,"Satisfiable",0.040207
result,"PUZ055-1.p","Satisfiable","1.00 v2.7.0","Timeout",3.010700,"Timeout",2.988109,"Timeout",3.058795,"Timeout",3.573363
result,"PUZ056-1.p","Unsatisfiable","0.33 v9.1.0","Timeout",3.011749,"Timeout",2.980994,"Timeout",3.079438,"Timeout",3.102533
result,"PUZ057-1.p","Satisfiable","0.88 v9.1.0","Timeout",3.005649,"Timeout",2.993628,"Timeout",3.051094,"Timeout",4.779361
