# bench_date,"2026-05-15_13-13-54"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SET"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/SET"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,false
# version_ip,"8dfcd15"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"SET063+1.p","Theorem","0.15 v9.0.0","Unsatisfiable",0.146577,"Theorem",0.013005,"Theorem",0.009987,"Unsatisfiable",0.256786
result,"SET064+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.023639,"Theorem",0.014245,"Theorem",0.009280,"Unsatisfiable",0.022372
result,"SET065+1.p","Theorem","0.12 v9.0.0","Timeout",3.009865,"Theorem",0.043804,"Theorem",0.011022,"Unsatisfiable",0.059286
result,"SET066+1.p","Theorem","0.76 v9.1.0","Unsatisfiable",0.119756,"Theorem",2.706081,"Timeout",3.053001,"Timeout",3.478066
result,"SET067+1.p","Theorem","0.27 v9.1.0","Unsatisfiable",0.148057,"Theorem",0.015598,"Timeout",3.055966,"Timeout",3.327549
result,"SET069+1.p","Theorem","0.73 v9.1.0","Timeout",3.007357,"Theorem",0.015032,"Timeout",3.050151,"Timeout",3.810136
result,"SET071+1.p","Theorem","0.42 v9.0.0","Timeout",3.007830,"Theorem",0.014535,"Timeout",3.052635,"Timeout",3.177734
result,"SET072+1.p","Theorem","0.33 v9.1.0","Unsatisfiable",0.137912,"Theorem",0.035488,"Theorem",0.010757,"Timeout",4.045684
result,"SET073+1.p","Theorem","0.12 v9.0.0","Unsatisfiable",0.140669,"Theorem",0.014189,"Theorem",0.010117,"Timeout",3.594532
result,"SET074+1.p","Theorem","0.15 v9.0.0","Unsatisfiable",0.139219,"Theorem",0.037474,"Theorem",0.009793,"Timeout",3.574657
result,"SET076+1.p","Theorem","0.30 v9.0.0","Unsatisfiable",0.163696,"Theorem",0.047251,"Timeout",3.054415,"Timeout",3.146334
result,"SET077+1.p","Theorem","0.06 v9.1.0","Timeout",3.007336,"Theorem",0.052881,"Theorem",0.008668,"Timeout",3.853129
result,"SET079+1.p","Theorem","0.09 v9.0.0","Unsatisfiable",0.142714,"Theorem",0.066042,"Theorem",0.010019,"Timeout",3.509360
result,"SET081+1.p","Theorem","0.18 v9.1.0","Unsatisfiable",0.139029,"Theorem",0.089330,"Theorem",0.007659,"Timeout",3.744607
result,"SET082+1.p","Theorem","0.24 v9.0.0","Timeout",3.007243,"Theorem",0.052662,"Theorem",2.271931,"Timeout",3.890597
result,"SET083+1.p","Theorem","0.27 v9.1.0","Unsatisfiable",0.150583,"Theorem",0.040091,"Theorem",0.011362,"Timeout",3.627372
