# bench_date,"2026-05-17_18-21-10"
# problem_dir,"/home/delahayed/problems/casc/casc-30-2025/Problems/FOF"
# home,"/home/delahaye/ip/bench/problems/casc/casc-30-2025/Problems/FOF"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,true
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,"casc-30-2025_fof"
# only_ip,false
# version_ip,"c7cb440"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"FEQ/CSR218+1.p","Unknown","","Error",5.092138,"Theorem",1.128178,"Timeout",3.046116,"Timeout",3.452311
result,"FEQ/CSR219+1.p","Unknown","","Error",5.093940,"Timeout",2.981618,"Timeout",3.048882,"Timeout",3.409609
result,"FEQ/CSR228+1.p","Unknown","","Error",5.090642,"Timeout",2.915007,"Timeout",3.049619,"Timeout",3.472727
result,"FEQ/CSR248+1.p","Unknown","","Error",5.094732,"Theorem",1.067797,"Timeout",3.057131,"Timeout",3.394548
result,"FEQ/GEO084+1.p","Unknown","","Timeout",3.019033,"Theorem",0.084110,"Theorem",0.144071,"Timeout",3.607154
result,"FEQ/GEO087+1.p","Unknown","","Unsatisfiable",0.025908,"Theorem",0.064841,"Theorem",0.009971,"Timeout",3.794195
result,"FEQ/GEO088+1.p","Unknown","","Timeout",3.013510,"Theorem",0.191634,"Timeout",3.049302,"Timeout",3.190493
result,"FEQ/GEO089+1.p","Unknown","","Timeout",3.008139,"Theorem",0.183748,"Timeout",3.048841,"Timeout",3.850758
result,"FEQ/GEO109+1.p","Unknown","","Timeout",3.049911,"Timeout",2.927143,"Timeout",3.053635,"Timeout",3.996983
result,"FEQ/GEO111+1.p","Unknown","","Timeout",3.016182,"Theorem",0.050661,"Theorem",0.036830,"Timeout",5.103216
result,"FEQ/GEO125+1.p","Unknown","","Timeout",3.037516,"Theorem",0.058300,"Theorem",0.014011,"Timeout",3.524369
result,"FEQ/GEO126+1.p","Unknown","","Timeout",3.010595,"Theorem",0.057854,"Theorem",0.365975,"Timeout",3.112651
result,"FEQ/GEO127+1.p","Unknown","","Timeout",3.010198,"Theorem",0.054288,"Theorem",0.011620,"Timeout",4.318777
result,"FEQ/GEO137+1.p","Unknown","","Timeout",3.010905,"Timeout",2.909360,"Timeout",3.053322,"Timeout",4.008199
